"Tanggal","Source","Major","Total_Spending","Bulan","Month","Day","Week","Sources"
2021-04-15,"Facebook Ads","digital_marketing",27938,Apr 2021,Apr 2021,15,"3","Facebook Ads"
2021-04-16,"Facebook Ads","digital_marketing",47579,Apr 2021,Apr 2021,16,"3","Facebook Ads"
2021-04-17,"Facebook Ads","digital_marketing",32592,Apr 2021,Apr 2021,17,"3","Facebook Ads"
2021-04-18,"Facebook Ads","digital_marketing",28736,Apr 2021,Apr 2021,18,"3","Facebook Ads"
2021-04-19,"Facebook Ads","digital_marketing",31069,Apr 2021,Apr 2021,19,"3","Facebook Ads"
2021-04-20,"Facebook Ads","digital_marketing",486065,Apr 2021,Apr 2021,20,"3","Facebook Ads"
2021-04-21,"Facebook Ads","digital_marketing",529779,Apr 2021,Apr 2021,21,"3","Facebook Ads"
2021-04-22,"Facebook Ads","digital_marketing",513726,Apr 2021,Apr 2021,22,"4","Facebook Ads"
2021-04-23,"Facebook Ads","digital_marketing",526732,Apr 2021,Apr 2021,23,"4","Facebook Ads"
2021-04-24,"Facebook Ads","digital_marketing",355314,Apr 2021,Apr 2021,24,"4","Facebook Ads"
2021-04-25,"Facebook Ads","digital_marketing",401332,Apr 2021,Apr 2021,25,"4","Facebook Ads"
2021-04-26,"Facebook Ads","digital_marketing",520166,Apr 2021,Apr 2021,26,"4","Facebook Ads"
2021-04-27,"Facebook Ads","digital_marketing",529075,Apr 2021,Apr 2021,27,"4","Facebook Ads"
2021-04-28,"Facebook Ads","digital_marketing",488894,Apr 2021,Apr 2021,28,"4","Facebook Ads"
2021-04-29,"Facebook Ads","digital_marketing",503314,Apr 2021,Apr 2021,29,"5","Facebook Ads"
2021-04-30,"Facebook Ads","digital_marketing",495611,Apr 2021,Apr 2021,30,"5","Facebook Ads"
2021-05-01,"Facebook Ads","digital_marketing",525837,May 2021,May 2021,1,"1","Facebook Ads"
2021-05-02,"Facebook Ads","digital_marketing",485183,May 2021,May 2021,2,"1","Facebook Ads"
2021-05-03,"Facebook Ads","digital_marketing",503965,May 2021,May 2021,3,"1","Facebook Ads"
2021-05-04,"Facebook Ads","digital_marketing",492392,May 2021,May 2021,4,"1","Facebook Ads"
2021-05-05,"Facebook Ads","digital_marketing",391625,May 2021,May 2021,5,"1","Facebook Ads"
2021-05-06,"Facebook Ads","digital_marketing",304992,May 2021,May 2021,6,"1","Facebook Ads"
2021-05-07,"Facebook Ads","digital_marketing",299309,May 2021,May 2021,7,"1","Facebook Ads"
2021-05-08,"Facebook Ads","digital_marketing",312213,May 2021,May 2021,8,"2","Facebook Ads"
2021-05-09,"Facebook Ads","digital_marketing",220348,May 2021,May 2021,9,"2","Facebook Ads"
2021-05-10,"Facebook Ads","digital_marketing",200939,May 2021,May 2021,10,"2","Facebook Ads"
2021-05-11,"Facebook Ads","digital_marketing",197842,May 2021,May 2021,11,"2","Facebook Ads"
2021-05-12,"Facebook Ads","digital_marketing",45656,May 2021,May 2021,12,"2","Facebook Ads"
2021-05-16,"Facebook Ads","digital_marketing",95007,May 2021,May 2021,16,"3","Facebook Ads"
2021-05-17,"Facebook Ads","digital_marketing",96787,May 2021,May 2021,17,"3","Facebook Ads"
2021-05-18,"Facebook Ads","digital_marketing",175553,May 2021,May 2021,18,"3","Facebook Ads"
2021-05-19,"Facebook Ads","digital_marketing",242713,May 2021,May 2021,19,"3","Facebook Ads"
2021-05-20,"Facebook Ads","digital_marketing",244471,May 2021,May 2021,20,"3","Facebook Ads"
2021-05-21,"Facebook Ads","digital_marketing",199675,May 2021,May 2021,21,"3","Facebook Ads"
2021-05-22,"Facebook Ads","digital_marketing",471424,May 2021,May 2021,22,"4","Facebook Ads"
2021-05-23,"Facebook Ads","digital_marketing",372733,May 2021,May 2021,23,"4","Facebook Ads"
2021-05-24,"Facebook Ads","digital_marketing",329815,May 2021,May 2021,24,"4","Facebook Ads"
2021-05-25,"Facebook Ads","digital_marketing",331209,May 2021,May 2021,25,"4","Facebook Ads"
2021-05-26,"Facebook Ads","digital_marketing",293562,May 2021,May 2021,26,"4","Facebook Ads"
2021-05-27,"Facebook Ads","digital_marketing",243070,May 2021,May 2021,27,"4","Facebook Ads"
2021-05-28,"Facebook Ads","digital_marketing",270160,May 2021,May 2021,28,"4","Facebook Ads"
2021-05-29,"Facebook Ads","digital_marketing",286921,May 2021,May 2021,29,"5","Facebook Ads"
2021-05-30,"Facebook Ads","digital_marketing",206324,May 2021,May 2021,30,"5","Facebook Ads"
2021-05-31,"Facebook Ads","digital_marketing",187409,May 2021,May 2021,31,"5","Facebook Ads"
2021-06-01,"Facebook Ads","digital_marketing",199856,Jun 2021,Jun 2021,1,"1","Facebook Ads"
2021-06-02,"Facebook Ads","digital_marketing",318976,Jun 2021,Jun 2021,2,"1","Facebook Ads"
2021-06-03,"Facebook Ads","digital_marketing",236499,Jun 2021,Jun 2021,3,"1","Facebook Ads"
2021-06-04,"Facebook Ads","digital_marketing",262190,Jun 2021,Jun 2021,4,"1","Facebook Ads"
2021-06-05,"Facebook Ads","digital_marketing",20514,Jun 2021,Jun 2021,5,"1","Facebook Ads"
2021-06-07,"Facebook Ads","digital_marketing",178868,Jun 2021,Jun 2021,7,"1","Facebook Ads"
2021-06-08,"Facebook Ads","digital_marketing",265051,Jun 2021,Jun 2021,8,"2","Facebook Ads"
